"Your Kindle Notes For:",,,
"AGENT STORM: MY LIFE INSIDE AL QAEDA AND THE CIA",,,
"by Morten Storm, Paul Cruickshank, Tim Lister",,,
"Free Kindle instant preview:",,,
"http://amzn.to/2gvSMEh",,,
----------------------------------------------,,,
,,,
"Annotation Type","Location","Starred?","Annotation"
"Highlight (Yellow)","Location 831","","Sheikh Muqbil regarded the Hadith, accounts of the actions and sayings of the Prophet recorded by his early followers, as the core of his teaching. The crisis of Islam, he held, could only be addressed by returning to the original texts and rejecting ‘innovators’ – mere mortals who had the temerity to interpret God’s word: ‘There is no God except God and Mohammed is His messenger.’ The spirit of Dammaj could be summed up by a hadith: ‘The most evil matter is novelty, and every novelty is an innovation, and every innovation is an error, and every error leads to hellfire.’ It did not leave much room for argument."
"Highlight (Yellow)","Location 1097","","To me, jihad was still a defensive duty rather than a right to wage offensive warfare against disbelievers. I took the words of the Koran as my guide: ‘Fight in the cause of Allah those who fight you, but do not transgress, for Allah loves not the transgressor. Fight in the way of Allah against those who fight against you, but begin not hostilities. Lo! Allah loves not aggressors.’"
"Highlight (Yellow)","Location 1106","","stressed that random acts to ‘terrorize the disbelievers’ were not allowed. In evidence I summoned the words of an eminent Saudi cleric who had said that the obligation of jihad ‘must be fulfilled by Muslims at different levels in accordance with their different abilities. Some must help with their bodies, others with their property and others with their minds.’"
"Note","Location 1109","","seems mismatched."
"Highlight (Yellow)","Location 1940","","It never ceased to amaze me that the Yemeni security services failed to arrest al-Abab. We met several times without great secrecy in Sana’a. Al-Abab was clearly on the same journey as Awlaki, moving towards a declaration of war against the US and bitterly critical of the Yemeni government for its submissive attitude towards the US."
"Highlight (Yellow)","Location 2780","","‘The mujahideen need to establish an Islamic State in Abyan, as the hadith have foretold,’ he told me. The hadith said, ‘An army of twelve thousand will come out of Aden-Abyan. They will give victory to Allah and His messenger; they are the best between myself and them.’ Awlaki believed God had given him a mission to carry the banner of jihad, and to start in southern Yemen."
