"Your Kindle Notes For:",,,
"A DISCOVERY OF WITCHES: A NOVEL (ALL SOULS TRILOGY, BOOK 1)",,,
"by Deborah Harkness",,,
"Free Kindle instant preview:",,,
"http://amzn.to/2fCmm6l",,,
----------------------------------------------,,,
,,,
"Annotation Type","Location","Starred?","Annotation"
"Highlight (Yellow)","Page 16","","Witches aren’t the only creatures sharing the world with humans, however. There are also daemons—creative, artistic creatures who walk a tightrope between madness and genius. “Rock stars and serial killers”"
"Highlight (Yellow)","Page 28","","Bishop’s body—all around the edges, escaping from her pores. The light was a blue so pale it was almost white, and at first it formed a cloudlike shroud that clung to her for a few seconds. For a moment she seemed to shimmer. Matthew shook his head in disbelief. It was impossible. It had been centuries since he’d seen such a luminous outpouring from a witch."
"Highlight (Yellow)","Page 62","","When it’s foggy, rowing feels even more like flying. The air muffles the normal sounds of birds and automobiles and amplifies the soft thwack of oars in the water and the swoosh of the boat seats. With no shorelines and familiar landmarks to orient you, there’s nothing to steer by but your instincts."
"Highlight (Yellow)","Page 73","","“Couldn’t live without it,” I replied. “I love the movement, and the meditation.” “I’m not surprised,” he said. “That’s the way you row—a combination of movement and meditation.”"
"Highlight (Yellow)","Page 79","","“Close your eyes,” Amira suggested again gently. “It can be hard to let go of our worries, our preoccupations, our egos. That’s why we’re here tonight.” The words were familiar—I’d heard variations on this theme before, in other yoga classes—but they took on new meaning in this room."
"Highlight (Yellow)","Page 80","","Soon I was no longer concerned with who was in the room with me or whether I could keep up with the class. There was only the moment and the movement."
"Highlight (Yellow)","Page 160","","“Humans have twenty-three chromosomal pairs in every cell nucleus, each arranged in long code sequences. Vampires and witches have twenty-four chromosome pairs.” “More than humans, pinot noir grapes, or pigs.” Marcus winked. “What about daemons?” “They have the same number of chromosome pairs as humans—but they also have a single extra chromosome. As far as we can tell, it’s their extra chromosome that makes them daemonic,” Matthew replied, “and prone to instability.”"
"Highlight (Yellow)","Page 202","","philosophy. But when the head of the family, Matthew’s own father, Philippe, called him back to Jerusalem to help resolve the conflicts that continued to plague the Holy Land long after the conclusion of Urban II’s Crusade, Matthew obeyed without question."
